timestamp,accX,accY,accZ,step
436456,25,-2,229,0
436467,25,0,229,0
436478,25,-1,229,0
436489,24,-1,231,0
436499,25,-3,227,0
436510,24,-6,227,0
436521,25,-2,231,0
436531,24,-1,230,0
436542,23,-1,232,0
436552,23,-1,232,0
436563,24,0,232,0
436573,23,-1,231,0
436584,22,-1,231,0
436595,21,-2,230,0
436606,23,-1,230,0
436617,21,-1,227,0
436627,26,-3,228,0
436638,26,-1,230,0
436648,23,-2,231,0
436658,24,-1,230,0
436669,23,-3,229,0
436679,22,-3,229,0
436691,26,-1,228,0
436702,26,0,228,0
436712,28,-1,230,0
436724,28,-1,231,0
436734,26,-1,229,0
436745,29,-1,230,0
436755,30,-1,231,0
436766,30,-1,230,0
436777,32,-3,228,0
436787,32,-3,230,0
436797,33,-3,230,0
436808,33,-2,228,0
436820,33,-2,229,0
436831,32,-5,229,0
436842,33,-5,230,0
436853,32,-5,230,0
436864,31,-3,230,0
436876,31,-3,231,0
436887,31,-6,230,0
436898,31,-6,231,0
436910,29,-4,229,0
436920,29,-4,229,0
436931,27,-4,229,0
436942,26,-4,228,0
436953,25,-3,231,0
436964,26,-5,232,0
436975,27,-5,230,0
436986,26,-7,228,0
436997,22,-5,228,0
437008,21,-5,227,0
437019,20,-3,230,0
437031,22,-1,231,0
437041,22,-1,232,0
437052,24,-2,234,0
437063,27,-4,233,0
437074,27,-3,229,0
437085,27,-3,228,0
437096,27,-2,225,0
437107,26,-1,226,0
437118,26,0,229,0
437129,27,-2,231,0
437140,27,-1,233,0
437152,26,-4,233,0
437162,27,-4,230,0
437173,26,-3,231,0
437184,25,-2,228,0
437195,28,-3,228,0
437206,31,-4,229,0
437217,33,-4,229,0
437228,36,-3,230,0
437239,37,-1,229,0
437250,38,-4,228,0
437261,38,-6,226,0
437272,38,-5,227,0
437283,38,-6,226,0
437294,38,-4,229,0
437305,38,-1,230,0
437316,39,-5,232,0
437327,38,-7,228,0
437338,36,-5,227,0
437349,33,-4,226,0
437360,33,-5,227,0
437371,33,-5,227,0
437382,32,-2,229,0
437393,32,-3,230,0
437404,31,-5,230,0
437416,30,-4,228,0
437427,30,-5,227,0
437437,29,-4,229,0
437448,30,-5,229,0
437460,30,-3,230,0
437470,31,-4,230,0
437481,33,-5,230,0
437492,37,-5,231,0
437503,39,-6,230,0
437514,39,-10,230,0
437526,40,-11,230,0
437536,41,-8,230,0
437547,42,-3,227,0
437558,42,-4,226,0
437569,39,-6,225,0
437580,34,-9,226,0
437592,32,-7,228,0
437602,31,-6,226,0
437613,29,-5,228,0
437624,27,-6,230,0
437635,27,-6,229,0
437646,25,0,231,0
437657,21,-1,229,0
437668,20,-1,230,0
437679,19,0,229,0
437691,18,0,227,0
437701,18,-2,227,0
437712,18,-4,224,0
437724,17,-3,228,0
437734,19,-2,231,0
437745,16,1,231,0
437756,17,0,231,0
437767,16,3,230,0
437778,17,4,230,0
437789,15,4,231,0
437800,16,3,229,0
437811,13,2,227,0
