timestamp,accX,accY,accZ,step
1677921,37,-4,225,0
1677931,36,-4,226,0
1677942,37,-4,227,0
1677953,37,-2,228,0
1677963,35,-3,224,0
1677973,34,-1,228,0
1677984,35,-3,236,0
1677995,38,-4,229,0
1678006,37,-4,231,0
1678017,36,-2,232,0
1678028,35,-3,231,0
1678039,35,-3,230,0
1678049,36,-3,231,0
1678060,38,-5,229,0
1678071,38,-2,228,0
1678082,37,-1,229,0
1678093,38,-1,229,0
1678104,41,-1,231,0
1678115,41,-1,233,0
1678126,42,-1,232,0
1678137,43,1,231,0
1678149,45,1,232,0
1678159,46,1,233,0
1678170,45,3,231,0
1678181,47,3,231,0
1678193,48,5,234,0
1678203,49,4,235,0
1678214,50,6,232,0
1678225,50,4,231,0
1678236,49,3,228,0
1678247,48,3,228,0
1678258,46,4,227,0
1678270,44,2,227,0
1678280,44,2,226,0
1678292,40,3,226,0
1678303,40,1,227,0
1678313,39,1,227,0
1678324,38,3,226,0
1678335,38,2,228,0
1678346,38,1,231,0
1678357,38,3,231,0
1678368,36,3,233,0
1678379,36,2,231,0
1678391,35,0,231,0
1678401,33,-1,230,0
1678412,34,-2,229,0
1678423,34,0,227,0
1678434,33,-3,226,0
1678445,34,-1,227,0
1678456,33,0,226,0
1678467,36,0,227,0
1678478,36,0,228,0
1678489,37,0,227,0
1678500,36,2,228,0
1678511,36,-1,228,0
1678522,36,0,229,0
1678533,35,1,230,0
1678544,34,-5,231,0
1678555,34,-7,231,0
1678566,35,-4,230,0
1678578,36,-1,231,0
1678588,37,-2,230,0
1678599,39,-4,230,0
1678610,42,-4,232,0
1678621,46,-8,229,0
1678632,44,-4,228,0
1678643,45,-3,224,0
1678654,44,-1,226,0
1678665,45,-2,226,0
1678676,43,-4,229,0
1678687,44,-2,229,0
1678698,43,-1,228,0
1678709,39,-3,227,0
1678720,38,-1,228,0
1678731,37,-1,228,0
1678742,37,-1,230,0
1678753,35,0,230,0
1678764,34,0,233,0
1678775,35,0,233,0
1678786,36,0,233,0
1678797,36,-1,234,0
1678808,38,-1,234,0
1678820,36,-2,234,0
1678830,35,-1,235,0
1678841,35,-3,234,0
1678853,34,-3,233,0
1678863,38,-4,229,0
1678874,43,-4,226,0
1678885,43,-3,225,0
1678896,40,-4,226,0
1678908,40,-3,225,0
1678918,39,-4,225,0
1678929,37,-1,229,0
1678940,36,0,227,0
1678951,35,1,228,0
1678962,33,2,227,0
1678973,32,5,228,0
1678984,31,4,227,0
1678995,30,5,228,0
1679006,30,4,228,0
1679017,30,3,228,0
1679028,28,2,229,0
1679040,27,1,229,0
1679051,26,0,229,0
1679062,23,0,228,0
1679073,20,1,230,0
1679084,19,2,231,0
1679095,17,2,231,0
1679106,16,1,234,0
1679117,15,2,233,0
1679128,15,1,234,0
1679139,16,1,232,0
1679150,21,-2,233,0
1679161,23,0,233,0
1679172,24,0,229,0
1679183,25,-2,228,0
1679194,24,-3,228,0
1679205,21,-5,228,0
1679217,20,-2,228,0
1679228,19,-3,228,0
1679238,19,-2,229,0
1679249,20,-2,228,0
1679260,18,-1,228,0
1679271,20,-2,230,0
1679282,20,0,231,0
1679293,21,-2,231,0
1679304,19,-1,232,0
1679315,19,-3,233,0
1679326,19,-1,231,0
1679337,20,-1,230,0
1679348,17,-2,230,0
1679359,17,-3,229,0
1679370,19,-3,230,0
1679381,20,-1,230,0
1679393,22,-2,229,0
1679403,24,-1,229,0
1679414,25,-1,231,0
1679425,28,-3,231,0
1679436,26,-4,230,0
1679447,25,-6,228,0
1679458,24,-8,227,0
1679470,24,-8,227,0
1679480,22,-9,227,0
1679492,21,-9,229,0
1679502,20,-7,228,0
1679513,18,-7,230,0
1679524,17,-5,229,0
1679535,15,-4,229,0
1679546,13,-3,228,0
1679557,13,-4,231,0
1679568,15,-7,232,0
1679579,14,-5,230,0
1679591,13,-6,231,0
1679601,16,-6,229,0
1679612,17,-6,230,0
1679623,17,-7,229,0
1679634,18,-8,229,0
1679645,20,-6,228,0
1679656,21,-6,228,0
1679667,20,-6,228,0
1679678,19,-6,228,0
1679689,19,-6,227,0
1679700,20,-8,230,0
1679711,22,-4,229,0
1679722,23,-3,229,0
1679733,23,-3,228,0
1679744,20,-6,229,0
1679755,19,-5,231,0
1679766,21,-4,229,0
1679777,22,-5,230,0
1679788,20,-2,230,0
1679799,20,-5,230,0
1679810,22,-3,229,0
1679821,20,-2,231,0
1679832,22,-6,231,0
1679843,22,-7,232,0
1679854,23,-4,229,0
1679865,22,0,231,0
1679876,22,-2,231,0
1679887,22,-5,231,0
1679898,21,-7,231,0
1679909,20,-11,229,0
1679920,19,-6,226,0
1679931,20,-5,227,0
1679942,21,-7,229,0
1679953,21,-7,226,0
1679964,22,-9,228,0
1679975,24,-6,228,0
1679986,25,-2,229,0
1679997,25,-1,229,0
1680008,24,1,227,0
1680019,26,2,230,0
1680030,28,3,231,0
1680041,26,8,232,0
1680052,22,9,232,0
1680063,21,6,233,0
1680074,18,5,232,0
1680085,16,3,229,0
1680096,14,1,228,0
1680107,12,1,228,0
1680118,11,0,228,0
1680129,11,0,228,0
1680140,12,3,228,0
1680151,16,6,233,0
1680162,22,6,233,0
1680173,26,7,235,0
1680184,29,7,235,0
1680195,29,3,228,0
1680206,29,2,224,0
1680217,30,2,225,0
1680228,29,2,223,0
1680239,27,0,224,0
1680250,25,1,225,0
1680262,22,3,225,0
1680272,20,1,228,0
1680283,18,0,229,0
1680294,16,1,230,0
1680305,15,1,231,0
1680316,13,-1,230,0
1680327,14,0,228,0
1680338,13,-2,227,0
1680350,12,1,227,0
1680361,11,1,226,0
1680372,7,2,228,0
1680383,4,2,229,0
1680394,2,4,226,0
1680405,0,4,226,0
1680416,0,3,227,0
1680427,-2,4,226,0
1680438,-2,4,225,0
1680449,-4,2,224,0
1680460,-3,1,226,0
1680471,-2,1,226,0
1680482,-1,1,226,0
1680493,0,1,226,0
1680504,0,2,224,0
1680515,0,3,224,0
1680526,0,2,224,0
1680537,1,4,223,0
1680548,1,5,224,0
1680559,5,3,225,0
1680570,7,3,225,0
1680581,6,1,226,0
1680593,7,0,225,0
1680603,8,-1,224,0
1680614,6,-1,224,0
1680625,5,-3,225,0
1680636,6,-3,224,0
1680647,14,2,223,0
1680658,24,8,230,0
1680670,14,-8,249,0
1680682,12,0,239,1
1680693,-1,0,237,0
1680703,-10,2,233,0
1680714,-7,13,236,0
1680725,-2,17,243,0
1680736,3,15,258,0
1680747,5,18,276,0
1680758,14,22,289,0
1680770,23,27,296,0
1680780,33,37,291,0
1680792,49,39,284,0
1680803,55,40,272,0
1680813,60,29,259,0
1680824,65,20,240,0
1680835,74,16,208,0
1680846,72,14,194,0
1680857,76,9,185,0
1680868,80,12,182,0
1680879,77,22,191,0
1680891,71,28,202,0
1680901,62,31,221,0
1680912,56,32,236,0
1680923,52,37,244,0
1680934,48,45,250,0
1680945,42,49,257,0
1680956,37,45,258,0
1680967,33,39,259,0
1680978,33,29,258,0
1680989,34,19,256,0
1681000,37,11,234,0
1681011,40,11,225,0
1681022,42,6,215,0
1681033,39,9,212,0
1681044,41,8,211,0
1681055,41,8,216,0
1681066,35,7,209,0
1681077,29,8,210,0
1681088,25,6,210,0
1681099,23,5,210,0
1681110,19,6,207,0
1681121,16,7,202,0
1681132,11,5,196,0
1681143,8,7,198,0
1681154,4,9,198,0
1681165,0,11,204,0
1681176,-3,10,207,0
1681187,-3,12,209,0
1681198,-5,12,211,0
1681209,-4,11,215,0
1681220,-7,13,216,0
1681231,-10,14,216,0
1681242,-12,15,220,0
1681253,-16,16,226,0
1681264,-18,14,230,0
1681275,-20,11,233,0
1681286,-20,7,234,0
1681297,-21,7,231,0
1681308,-20,7,227,0
1681319,-21,9,230,0
1681330,-21,7,247,0
1681341,-21,5,253,0
1681353,-23,2,250,0
1681363,-23,7,260,0
1681375,-23,7,258,1
1681386,-23,7,262,0
1681397,10,-6,302,0
1681408,57,2,387,0
1681419,59,48,375,0
1681430,60,5,357,0
1681441,55,-14,318,0
1681452,49,-19,296,0
1681463,69,-11,319,0
1681474,39,-7,241,0
1681485,32,-28,211,0
1681496,34,-27,191,0
1681507,40,-22,182,0
1681518,45,-31,164,0
1681529,54,-33,152,0
1681540,63,-26,155,0
1681551,67,-21,160,0
1681562,68,-8,161,0
1681573,68,-5,177,0
1681584,76,-3,194,0
1681595,80,1,208,0
1681606,76,-1,214,0
1681617,79,-6,213,0
1681628,84,-8,213,0
1681639,86,-7,214,0
1681650,75,-7,222,0
1681661,72,-4,219,0
1681672,66,-2,214,0
1681683,59,-5,209,0
1681694,53,-1,211,0
1681705,46,3,215,0
1681716,42,4,214,0
1681727,37,3,214,0
1681738,38,2,216,0
1681749,32,4,212,0
1681760,24,1,212,0
1681771,16,1,211,0
1681782,9,0,210,0
