timestamp,accX,accY,accZ,step
1152860,12,24,226,0
1152871,11,22,225,0
1152882,9,23,226,0
1152893,10,23,226,0
1152904,11,23,226,0
1152915,11,24,229,0
1152926,11,27,229,0
1152936,12,26,232,0
1152946,11,23,230,0
1152957,12,26,230,0
1152967,13,26,232,0
1152978,12,25,229,0
1152988,11,24,229,0
1152999,12,24,228,0
1153010,11,25,229,0
1153021,14,29,231,0
1153032,15,28,231,0
1153042,14,27,231,0
1153054,14,26,230,0
1153065,12,24,232,0
1153076,11,24,231,0
1153086,12,23,229,0
1153097,12,26,229,0
1153108,12,24,229,0
1153120,13,26,229,0
1153131,14,25,229,0
1153142,13,27,230,0
1153153,15,24,231,0
1153164,13,27,234,0
1153175,12,21,228,0
1153186,8,23,229,0
1153197,7,26,227,0
1153208,5,26,226,0
1153219,6,25,225,0
1153230,7,25,227,0
1153241,9,25,231,0
1153252,11,23,231,0
1153263,11,24,232,0
1153274,13,25,234,0
1153285,13,24,233,0
1153296,14,22,229,0
1153307,14,20,229,0
1153318,14,22,227,0
1153329,14,19,229,0
1153340,12,19,231,0
1153351,11,19,231,0
1153362,11,18,231,0
1153373,9,21,231,0
1153384,9,19,232,0
1153395,9,20,233,0
1153406,11,21,233,0
1153417,11,21,233,0
1153428,11,21,233,0
1153439,10,19,231,0
1153450,7,19,230,0
1153461,7,16,231,0
1153472,7,19,229,0
1153483,5,22,229,0
1153494,3,23,230,0
1153505,4,24,231,0
1153516,7,26,231,0
1153527,8,29,231,0
1153538,9,30,231,0
1153549,9,30,231,0
1153560,9,30,228,0
1153571,12,27,225,0
1153582,11,27,224,0
1153593,11,27,223,0
1153604,12,27,223,0
1153615,12,29,224,0
1153626,16,30,226,0
1153637,19,27,230,0
1153648,23,27,232,0
1153659,24,28,231,0
1153670,23,27,230,0
1153681,22,28,228,0
1153692,20,28,228,0
1153703,19,24,227,0
1153714,16,24,227,0
1153725,15,24,228,0
1153736,13,22,230,0
1153747,12,22,231,0
1153758,11,21,233,0
1153769,12,19,234,0
1153780,12,19,234,0
1153791,13,22,233,0
1153802,12,18,232,0
1153813,13,21,232,0
