timestamp,accX,accY,accZ,step
852771,30,-19,222,0
852781,29,-18,222,0
852793,29,-18,220,0
852803,27,-17,225,0
852814,26,-19,227,0
852824,28,-20,228,0
852834,31,-21,231,0
852845,33,-22,232,0
852856,33,-21,234,0
852867,35,-20,231,0
852878,36,-19,232,0
852889,36,-20,231,0
852900,36,-17,237,0
852912,36,-20,233,0
852922,34,-20,230,0
852933,33,-20,225,0
852944,34,-19,224,0
852955,31,-19,223,0
852966,29,-12,234,0
852978,28,-21,222,0
852988,30,-10,236,0
852999,25,-14,235,0
853010,24,-15,234,0
853021,26,-17,232,0
853032,28,-15,232,0
853043,30,-17,229,0
853054,32,-18,226,0
853065,31,-17,226,0
853076,31,-19,225,0
853087,33,-21,226,0
853098,35,-20,226,0
853109,35,-19,226,0
853120,36,-20,227,0
853131,35,-20,228,0
853142,34,-19,226,0
853153,34,-19,229,0
853164,32,-19,231,0
853175,32,-19,232,0
853186,30,-19,235,0
853197,29,-19,234,0
853208,27,-19,232,0
853219,25,-21,229,0
853230,22,-25,228,0
853241,20,-22,226,0
853253,17,-21,226,0
853263,16,-20,228,0
853274,15,-19,230,0
853286,15,-22,232,0
853296,16,-22,234,0
853307,16,-23,233,0
853318,15,-23,231,0
853329,15,-24,226,0
853340,16,-24,227,0
853351,18,-25,230,0
853362,18,-24,232,0
853373,20,-24,238,0
853384,19,-20,238,0
853395,19,-19,237,0
853406,20,-20,233,0
853417,19,-17,230,0
853428,19,-18,227,0
853439,20,-19,227,0
853450,20,-19,226,0
853461,21,-19,227,0
853472,21,-18,224,0
853483,21,-19,221,0
853494,23,-24,217,0
853505,26,-24,215,0
853516,30,-24,218,0
853528,33,-25,219,0
853538,35,-26,220,0
853549,37,-23,220,0
853560,37,-23,218,0
853571,35,-23,219,0
853582,32,-28,224,0
853593,33,-31,229,0
853604,37,-30,230,0
853615,38,-27,233,0
853626,36,-25,236,0
853637,39,-26,236,0
853648,43,-17,229,0
853659,39,-16,228,0
853670,39,-22,226,0
853681,38,-11,232,0
853693,37,-5,229,0
853703,35,-11,228,0
853714,32,-12,224,0
853725,34,-14,222,0
853736,31,-18,219,0
853747,29,-18,222,0
853758,26,-19,222,0
853769,23,-16,225,0
853780,25,-15,227,0
853792,26,-11,229,0
853803,30,-11,231,0
