timestamp,accX,accY,accZ,step
151538,31,35,270,0
151549,21,12,235,0
151560,19,9,230,0
151571,17,11,231,0
151582,17,8,233,0
151592,18,6,232,0
151602,18,6,232,0
151613,23,9,230,0
151624,24,11,234,0
151635,23,10,231,0
151645,22,10,229,0
151656,21,10,227,0
151666,21,11,231,0
151677,17,10,231,0
151688,19,8,231,0
151698,19,7,232,0
151709,22,5,232,0
151720,23,7,231,0
151732,24,10,231,0
151743,26,8,230,0
151754,26,9,228,0
151765,26,11,228,0
151776,28,8,231,0
151787,29,9,230,0
151798,26,8,229,0
151809,26,7,231,0
151820,24,6,232,0
151831,24,6,234,0
151842,23,7,233,0
151853,23,8,232,0
151864,23,6,231,0
151875,24,6,231,0
151886,23,6,231,0
151897,22,7,231,0
151908,21,6,232,0
151919,22,6,231,0
151930,20,7,231,0
151941,18,6,231,0
151952,18,6,232,0
151963,20,5,232,0
151974,20,7,230,0
151985,18,9,230,0
151996,17,9,229,0
152007,15,9,229,0
152018,14,8,226,0
152029,14,7,229,0
152040,14,6,228,0
152051,18,4,231,0
152062,21,5,232,0
152073,23,7,232,0
152084,22,8,230,0
152095,23,9,232,0
152106,26,9,233,0
152117,26,10,232,0
152128,29,6,231,0
152139,30,6,233,0
152150,27,9,231,0
152161,25,12,230,0
152172,22,11,231,0
152183,22,10,232,0
152194,22,9,230,0
152205,24,7,229,0
152216,24,5,230,0
152227,26,6,230,0
152238,24,10,229,0
152249,20,9,230,0
152260,16,10,228,0
152271,16,12,230,0
152282,13,10,231,0
152293,12,7,232,0
152304,10,8,233,0
152315,10,9,233,0
152326,11,9,234,0
152337,14,9,233,0
152348,19,9,233,0
152359,22,11,232,0
152370,21,9,229,0
152381,23,4,228,0
152392,24,3,226,0
152403,25,3,229,0
152414,26,3,230,0
152426,29,3,231,0
152437,31,5,232,0
152448,32,6,232,0
152459,31,9,231,0
152470,31,6,230,0
152481,30,5,231,0
152492,31,5,230,0
152503,30,6,229,0
152514,29,5,229,0
152525,29,3,230,0
152536,29,5,230,0
152547,25,6,229,0
152558,24,4,229,0
152569,24,2,231,0
152580,23,4,231,0
152591,22,7,231,0
152602,21,9,233,0
152613,22,8,232,0
152624,21,7,232,0
152635,22,5,228,0
152646,19,4,226,0
152657,17,3,225,0
152668,16,4,228,0
152679,16,4,231,0
152690,17,6,233,0
152701,19,7,236,0
152712,21,9,235,0
152723,22,9,237,0
152734,24,7,233,0
152745,23,6,228,0
152756,21,6,227,0
152767,19,4,231,0
152778,19,7,230,0
152789,19,6,232,0
152800,18,6,231,0
152811,18,6,233,0
152822,18,6,233,0
152833,18,8,233,0
152844,18,8,231,0
152856,17,8,230,0
152867,18,10,228,0
152878,19,9,230,0
152889,20,7,231,0
152900,22,7,232,0
152911,23,7,231,0
152922,26,8,228,0
152933,25,8,229,0
152944,26,7,229,0
152955,27,7,230,0
152966,28,9,230,0
152977,27,12,232,0
152988,26,16,235,0
152999,27,15,234,0
153010,27,13,236,0
153021,28,14,238,0
153032,31,17,237,0
153043,33,21,230,0
153054,30,17,223,0
153065,28,16,220,0
153076,21,11,223,0
153087,19,12,227,0
153098,17,16,233,0
153109,15,16,235,0
153120,14,21,230,0
153131,12,24,230,0
153142,9,24,227,0
153153,6,24,227,0
153164,4,27,230,0
153175,3,30,227,0
153186,1,30,228,0
153197,1,32,229,0
153208,0,32,229,0
153219,3,31,233,0
153230,8,29,232,0
153241,10,25,234,0
153252,12,24,232,0
153263,14,26,230,0
153274,14,28,228,0
153285,12,29,228,0
153296,12,30,229,0
153307,12,33,232,0
153318,12,34,233,0
153329,13,34,230,0
153340,11,32,230,0
153351,9,33,230,0
153362,12,31,231,0
153373,12,34,229,0
153384,11,33,229,0
153395,14,33,231,0
153406,15,30,230,0
153417,15,28,231,0
153428,15,30,229,0
153439,14,30,227,0
153450,14,31,228,0
153461,12,32,230,0
153472,12,30,230,0
153483,11,30,233,0
153494,11,30,232,0
153505,12,29,230,0
153516,13,28,228,0
153527,14,29,226,0
153538,16,26,223,0
153549,20,29,225,0
153560,22,29,228,0
153571,19,28,228,0
153582,21,30,229,0
153593,19,29,227,0
153604,17,29,226,0
153615,18,28,224,0
153626,14,27,222,0
153637,15,29,225,0
153648,17,31,225,0
153659,17,32,227,0
153670,16,31,228,0
153681,16,30,226,0
153692,13,30,224,0
153703,12,30,224,0
153714,12,34,225,0
153725,8,34,229,0
153736,10,35,232,0
153747,9,34,230,0
153758,7,34,226,0
153769,6,36,224,0
153780,7,40,223,0
153791,6,43,223,0
153802,5,48,223,0
153813,3,46,225,0
153824,2,43,227,0
153835,2,44,227,0
153846,4,52,226,0
153857,4,61,226,0
153868,1,64,228,0
153879,1,64,227,0
153890,1,67,224,0
153901,-4,82,211,0
153912,-11,83,211,0
153923,-14,84,213,1
153934,-11,79,221,0
153945,-14,72,229,0
153956,-8,66,242,0
153967,-1,64,261,0
153978,0,73,283,0
153989,0,80,302,0
154000,8,77,308,0
154011,26,70,302,0
154022,45,67,296,0
154033,65,67,294,0
154044,83,65,292,0
154055,111,44,278,0
154066,107,25,260,1
154077,100,2,239,0
154088,92,-2,222,0
154099,89,-6,207,0
154110,89,-7,208,0
154121,81,-2,207,0
154132,70,3,212,0
154143,62,9,228,0
154154,54,9,242,0
154165,49,5,248,0
154176,47,3,246,0
154187,45,1,240,0
154198,46,0,235,0
154209,53,1,237,0
154220,59,-2,222,0
154231,61,-1,213,0
154242,62,-4,205,0
154253,62,0,200,0
154264,62,3,195,0
154275,61,9,194,0
154286,61,13,195,0
154297,60,16,195,0
154308,59,18,200,0
154319,57,24,203,0
154330,50,23,209,0
154341,46,22,215,0
154352,41,23,215,0
154363,36,23,210,0
154374,29,20,207,0
154385,27,10,208,0
154396,26,5,205,0
154407,25,5,201,0
154418,23,6,195,0
154429,20,8,192,0
154440,20,9,193,0
154451,18,0,205,0
154462,25,0,206,0
154473,24,5,201,0
154484,23,7,210,0
154495,24,12,216,0
154506,30,14,205,0
154517,19,21,202,0
154528,14,21,207,0
