timestamp,accX,accY,accZ,step
623216,23,-8,231,0
623227,24,-7,233,0
623238,25,-8,230,0
623248,28,-7,227,0
623259,30,-10,229,0
623270,29,-10,226,0
623281,26,-8,225,0
623292,24,-6,228,0
623303,24,-5,227,0
623314,25,-7,230,0
623325,26,-7,231,0
623336,24,-6,230,0
623346,24,-7,231,0
623357,24,-6,231,0
623368,24,-7,231,0
623379,23,-6,230,0
623390,25,-4,229,0
623401,24,-5,231,0
623412,25,-5,231,0
623423,27,-6,231,0
623434,29,-5,233,0
623445,31,-5,230,0
623456,32,-5,228,0
623467,33,-5,229,0
623478,33,-7,230,0
623489,35,-7,230,0
623500,35,-7,230,0
623511,34,-8,230,0
623522,32,-8,230,0
623533,30,-6,230,0
623544,30,-5,228,0
623555,28,-5,229,0
623566,27,-3,231,0
623577,26,-3,230,0
623588,23,-3,229,0
623599,23,-3,228,0
623610,23,-6,229,0
623621,25,-6,230,0
623632,24,-4,231,0
623643,23,-5,232,0
623654,21,-4,232,0
623665,20,-2,230,0
623676,19,-2,231,0
623687,21,-4,230,0
623698,24,-5,230,0
623709,26,-5,231,0
623720,30,-8,234,0
623731,33,-10,232,0
623742,33,-10,228,0
623753,34,-9,226,0
623764,34,-8,224,0
623775,33,-8,225,0
623787,33,-5,227,0
623798,32,-10,236,0
623809,32,-9,238,0
623820,31,-10,235,0
623831,27,-10,231,0
623842,27,-10,228,0
623853,25,-9,229,0
623864,25,-6,229,0
623875,24,-5,229,0
623886,28,-6,232,0
623897,27,-6,232,0
623908,27,-6,232,0
623919,27,-5,230,0
623930,27,-7,229,0
623941,27,-5,230,0
623952,27,-5,230,0
623963,31,-6,230,0
623974,32,-6,232,0
623985,34,-6,229,0
623996,34,-6,230,0
624007,35,-6,229,0
624018,36,-7,229,0
624029,36,-8,228,0
624040,36,-8,227,0
624051,36,-8,229,0
624062,36,-7,230,0
624073,34,-7,231,0
624084,34,-5,231,0
624095,33,-7,232,0
624106,31,-5,232,0
624117,31,-6,232,0
624128,31,-8,229,0
624139,31,-9,228,0
624150,29,-9,228,0
624161,29,-8,228,0
624172,29,-8,228,0
624183,27,-9,227,0
624194,21,-14,233,0
624205,19,-10,227,0
624216,17,-8,230,0
624227,16,-3,227,0
624238,17,0,227,0
624249,16,-5,227,0
624260,15,0,224,0
624271,15,-1,224,0
624282,16,1,229,0
624293,22,4,238,0
624304,26,4,238,0
624315,30,2,235,0
624326,35,1,232,0
624337,36,2,229,0
624348,38,1,225,0
624359,39,2,225,0
624370,41,2,226,0
624381,40,3,228,0
624392,41,3,229,0
624403,41,4,228,0
624414,40,5,230,0
624425,41,5,229,0
624436,42,7,231,0
624447,41,6,229,0
624458,39,4,229,0
624469,39,2,228,0
624480,40,4,229,0
624491,41,4,227,0
624502,40,5,229,0
624513,39,7,228,0
624524,36,9,228,0
624535,36,11,231,0
624546,35,13,231,0
624557,35,12,231,0
624568,35,13,228,0
624579,36,14,228,0
624590,36,13,227,0
624601,37,13,228,0
624612,36,14,228,0
624623,37,15,228,0
624634,37,17,228,0
624645,37,18,227,0
624656,37,20,229,0
624667,36,20,227,0
624678,36,19,230,0
624689,36,18,228,0
624700,36,18,229,0
624711,35,17,231,0
624722,35,20,232,0
624733,36,21,232,0
624744,40,21,234,0
624755,44,19,234,0
624766,45,21,232,0
624777,48,20,230,0
624788,52,16,226,0
624799,51,17,222,0
624810,50,17,222,0
624821,46,15,222,0
624832,44,13,224,0
624843,44,11,228,0
624854,45,8,229,0
624865,43,8,231,0
624876,44,8,234,0
624887,45,9,235,0
624898,44,11,235,0
624909,42,13,236,0
624920,40,16,239,0
624931,39,16,242,0
624942,39,14,244,0
624953,39,6,243,0
624964,41,2,238,0
624975,42,0,230,0
624986,43,-1,229,0
624997,46,-4,226,0
625008,45,-4,226,0
625019,47,-4,225,0
625030,45,-3,227,0
625041,43,-4,227,0
625052,38,-7,233,0
625063,36,-8,237,0
625074,32,-9,239,0
625085,28,-12,238,0
625096,25,-13,239,0
625107,23,-10,240,0
625118,18,-11,240,0
625129,15,-11,244,0
625140,13,-12,242,0
625151,12,-11,240,0
625162,13,-12,235,0
625173,13,-14,232,0
625184,14,-17,230,0
625195,16,-16,230,0
625206,15,-17,228,0
625217,14,-17,227,0
625228,13,-16,222,0
625239,15,-15,223,0
625250,14,-14,223,0
625261,15,-14,223,0
625272,18,-10,224,0
625283,17,-8,220,0
625294,17,-5,222,0
625305,15,-3,223,0
625316,14,-2,224,0
625327,10,-1,223,0
625338,10,-3,222,0
625349,10,-4,220,0
625360,10,-5,218,0
625371,10,-6,218,0
625382,11,-5,214,0
625393,8,-5,214,0
625404,6,-5,214,0
625415,6,-4,214,0
625426,10,-4,224,0
625437,7,-8,220,0
625448,-3,0,212,0
625459,-7,-1,213,0
625470,-3,-1,215,0
625481,-4,-2,219,0
625492,-6,-1,219,0
625503,-7,-1,218,0
625515,-9,-2,220,0
625526,-12,0,222,0
625537,-14,-1,224,0
625548,-14,1,226,0
625559,-10,0,231,0
625570,-6,2,236,0
625581,-3,0,239,0
625592,-1,2,237,0
625603,-5,-5,232,0
625614,-8,-6,232,0
625625,-11,-8,236,0
625636,-13,-3,237,0
625647,-15,-3,237,0
625658,-17,-5,238,0
625669,-18,-3,239,0
625680,-15,-8,242,0
625691,-13,-11,246,0
625702,-11,-12,251,0
625713,-10,-10,254,0
625724,-11,-7,253,0
625735,-14,-15,261,0
625746,8,-7,279,0
625757,35,15,310,0
625768,62,17,329,0
625779,74,17,321,0
625790,78,9,315,0
625801,80,17,301,0
625812,72,8,278,0
625823,65,-24,269,0
625834,56,-49,271,0
625845,46,-31,245,0
625856,22,-19,198,1
625867,-3,26,137,0
625878,11,-125,215,0
625889,77,-9,155,0
625900,65,10,151,0
625911,77,-11,183,0
625923,94,-14,223,0
