timestamp,accX,accY,accZ,step
444733,28,16,237,0
444744,28,18,237,0
444755,26,15,234,0
444765,27,13,229,0
444775,29,13,228,0
444785,31,12,228,0
444795,34,12,228,0
444806,36,12,231,0
444817,34,11,235,0
444829,30,7,226,0
444840,33,10,230,0
444851,32,11,231,0
444861,33,12,233,0
444871,33,12,234,0
444882,32,11,234,0
444893,34,8,233,0
444904,35,10,234,0
444915,36,8,229,0
444926,36,9,229,0
444937,37,11,231,0
444948,36,10,229,0
444959,36,8,229,0
444970,36,10,229,0
444981,29,12,233,0
444992,54,6,234,0
445003,35,11,231,0
445014,32,11,234,0
445025,35,9,235,0
445036,30,10,233,0
445047,40,10,234,0
445058,34,15,238,0
445069,34,14,233,0
445080,31,12,230,0
445091,30,11,229,0
445102,30,11,229,0
445113,30,10,227,0
445124,31,6,228,0
445135,32,7,230,0
445146,35,7,228,0
445157,37,8,229,0
445168,39,9,231,0
445179,39,10,231,0
445190,41,9,230,0
445201,40,9,233,0
445212,41,7,233,0
445223,41,9,235,0
445234,38,11,235,0
445245,38,11,233,0
445256,37,11,232,0
445267,36,12,231,0
445278,35,9,232,0
445289,35,8,231,0
445300,37,6,231,0
445311,37,5,230,0
445322,38,3,230,0
445333,37,3,230,0
445344,38,3,228,0
445356,37,6,229,0
445367,36,8,230,0
445378,34,11,231,0
445389,33,9,234,0
445400,33,11,234,0
445411,35,6,235,0
445422,34,4,231,0
445433,34,4,229,0
445444,33,3,226,0
445455,33,3,229,0
445466,34,2,231,0
445477,34,2,234,0
445488,34,3,237,0
445499,33,4,238,0
445510,33,4,238,0
445521,33,3,236,0
445532,32,2,235,0
445543,30,3,232,0
445554,28,2,231,0
445565,28,1,232,0
445576,27,0,233,0
445587,29,-3,233,0
445598,29,-4,232,0
445609,30,-3,231,0
445620,31,-4,231,0
445631,33,-7,230,0
445642,36,-6,229,0
445653,38,-2,226,0
445664,36,1,227,0
445675,33,3,229,0
445686,28,3,231,0
445697,26,-4,236,0
445708,26,-7,234,0
445719,25,-6,235,0
445730,23,-9,233,0
445741,21,-12,231,0
445752,19,-14,229,0
445763,19,-13,226,0
445774,21,-12,226,0
445785,24,-12,226,0
445796,28,-12,225,0
445807,33,-12,226,0
445818,39,-14,226,0
445829,44,-17,225,0
445840,50,-20,225,0
445851,53,-24,226,0
445862,53,-24,227,0
445873,50,-23,227,0
445884,44,-21,231,0
445895,35,-15,230,0
445906,30,-13,232,0
445917,24,-10,233,0
445928,20,-6,234,0
445939,18,-5,231,0
445950,17,-7,230,0
445961,18,-9,227,0
445973,22,-10,232,0
445984,44,-25,231,0
445995,44,-6,223,0
446006,31,7,235,0
446017,35,-18,240,0
446028,52,-38,229,0
446039,49,-15,221,0
446050,44,0,224,0
446062,38,5,220,0
446073,37,-3,221,0
446084,33,3,217,0
446095,27,6,222,0
446106,28,16,229,0
446117,31,24,234,0
446128,32,16,236,0
446139,33,15,233,0
446150,33,14,231,0
446161,35,20,227,0
446172,45,22,222,0
446183,50,28,218,0
446194,52,29,218,0
446205,52,25,221,0
446216,50,22,225,0
446227,47,20,228,0
446238,46,23,229,0
446249,45,27,227,0
446260,45,30,230,0
446271,45,39,234,0
446282,41,39,238,0
446293,36,41,238,0
446304,32,38,236,0
446315,27,39,234,0
446326,22,37,229,0
446337,19,37,226,0
446348,17,33,224,0
446359,15,32,222,0
446370,12,34,222,0
446381,14,31,224,0
446392,15,30,222,0
446403,16,32,224,0
446414,13,37,230,0
446425,7,38,227,0
446436,3,36,229,0
446447,1,35,228,0
446458,4,31,227,0
446470,5,31,222,0
446481,8,34,217,0
446492,12,37,219,0
446503,14,38,216,0
446514,17,38,220,0
446525,20,37,224,0
446536,21,42,226,0
446547,21,43,229,0
446558,17,47,229,0
446569,14,47,237,0
446580,13,50,240,0
446591,9,54,241,0
446603,4,58,243,0
446614,3,61,247,0
446625,2,64,251,0
446636,0,63,255,0
446647,-5,61,259,0
446658,-6,56,264,0
446669,-10,54,266,0
446680,-15,48,259,0
446691,-14,48,257,0
446702,-21,53,259,0
446713,-25,53,259,0
446724,-20,49,255,0
446735,-16,45,249,0
446746,-19,51,244,0
446757,-27,51,238,0
446768,-29,44,231,0
446779,-32,35,215,1
446790,-33,24,200,0
446801,-27,28,187,0
446812,7,47,163,0
446823,83,72,141,0
446834,63,2,137,0
446845,61,-57,103,0
446856,-15,-65,92,0
446867,-45,-29,117,0
446878,-62,8,172,0
446890,-42,33,250,0
446901,-20,49,311,0
446912,12,56,342,0
446923,27,67,387,0
446934,34,67,451,0
446945,22,86,509,0
446956,14,95,511,0
446967,14,51,483,0
446978,8,39,453,0
446989,4,31,436,0
447000,2,36,425,0
447011,0,34,411,0
447022,3,14,389,0
447033,2,-6,363,0
447044,-2,-40,326,0
447055,-11,-58,297,0
447066,-22,-24,252,0
447077,-30,7,211,0
447088,-42,-4,184,0
447099,-55,-19,160,0
447110,-61,60,118,0
447121,-46,71,73,0
447132,-46,60,24,0
447143,-29,33,-3,0
447154,0,-11,-43,0
447165,41,-17,-48,0
447176,88,-6,-58,0
447187,105,-2,-59,0
447198,153,2,-61,0
447209,159,1,-50,1
447220,165,2,-19,0
447231,167,-21,10,0
447242,188,-45,46,0
447253,202,20,234,0
447264,101,72,234,0
447275,73,62,233,0
447286,13,-6,267,0
447297,-27,-27,334,0
447308,-45,-27,382,0
447319,-133,-23,401,0
447330,-161,-25,434,0
447341,-94,44,458,0
447352,-16,71,477,0
447363,34,62,452,0
447374,53,60,433,0
447385,39,53,433,0
447396,8,48,433,0
447407,-51,37,395,0
447418,-49,29,365,0
447429,-32,36,358,0
447440,-28,56,366,0
447451,-24,82,366,0
447462,-28,92,346,0
447473,-21,85,312,0
447484,-5,78,281,0
447495,13,57,239,0
447506,29,32,205,0
447517,58,3,169,0
447528,68,-18,127,0
447539,65,-8,92,0
447550,14,11,41,0
447561,11,-8,8,0
447572,7,17,-22,0
447583,-3,24,-32,0
