timestamp,accX,accY,accZ,step
597591,-17,149,185,0
597602,-18,148,183,0
597613,-16,147,184,0
597624,-14,148,187,0
597635,-16,144,185,0
597645,-14,143,186,0
597656,-12,141,184,0
597666,-16,145,182,0
597676,-15,151,187,0
597686,-17,152,187,0
597696,-16,150,188,0
597707,-15,148,186,0
597718,-14,146,186,0
597729,-13,145,186,0
597739,-14,149,185,0
597749,-14,151,186,0
597760,-15,151,187,0
597770,-16,154,189,0
597780,-18,151,188,0
597790,-19,148,186,0
597800,-20,145,184,0
597811,-20,145,183,0
597821,-20,145,183,0
597832,-20,143,184,0
597843,-17,145,185,0
597853,-15,146,186,0
597864,-12,149,189,0
597874,-10,149,191,0
597884,-9,152,190,0
597894,-11,153,190,0
597904,-14,153,191,0
597916,-17,152,189,0
597926,-20,150,187,0
597937,-23,148,187,0
597947,-21,149,184,0
597958,-19,149,184,0
597968,-16,147,185,0
597978,-12,147,187,0
597990,-9,148,185,0
598001,-10,147,183,0
598012,-14,148,181,0
598023,-18,148,180,0
598034,-19,150,179,0
598045,-22,152,180,0
598056,-23,152,181,0
598067,-24,154,182,0
598078,-20,155,185,0
598089,-19,155,187,0
598100,-15,152,186,0
598111,-11,150,183,0
598122,-12,146,179,0
598133,-12,149,179,0
598144,-15,152,181,0
598155,-19,151,181,0
598166,-18,151,184,0
598177,-21,156,187,0
598188,-20,153,188,0
598199,-19,154,187,0
598210,-18,154,185,0
598221,-16,152,186,0
598232,-12,150,188,0
598243,-9,151,190,0
598254,-9,151,186,0
598265,-7,150,185,0
598276,-6,150,183,0
598287,-3,150,182,0
598298,-2,150,184,0
598309,-2,150,185,0
598320,-1,148,186,0
598331,-2,149,185,0
598342,-1,149,186,0
598353,-2,150,183,0
598364,-2,149,183,0
598375,-2,151,185,0
598386,-5,151,184,0
598397,-6,154,185,0
598409,-8,156,185,0
598419,-5,154,187,0
598430,-4,153,189,0
598441,-4,154,188,0
598452,-2,151,185,0
598463,-2,149,185,0
598474,-3,150,183,0
598485,-5,151,183,0
598496,-7,152,185,0
598507,-5,150,184,0
598518,-7,150,185,0
598529,-10,151,186,0
598540,-14,150,184,0
598551,-11,137,186,0
598562,-16,150,187,0
598573,-19,152,186,0
598584,-22,152,184,0
598595,-21,151,186,0
598606,-22,149,187,0
598617,-20,147,187,0
598628,-20,148,184,0
598639,-21,147,182,0
598650,-21,145,187,0
598661,-21,146,185,0
598672,-21,145,186,0
598683,-18,142,189,0
598694,-21,144,188,0
598705,-23,147,189,0
598716,-25,147,186,0
598727,-25,145,187,0
598738,-24,147,186,0
598749,-21,146,186,0
598760,-17,146,183,0
598771,-16,147,185,0
598782,-14,146,185,0
598793,-14,146,185,0
598804,-16,149,187,0
598815,-18,149,187,0
598826,-19,149,185,0
598837,-20,152,185,0
598848,-18,151,186,0
