timestamp,accX,accY,accZ,step
93989,19,35,232,0
94001,22,34,232,0
94012,23,35,231,0
94023,24,33,230,0
94033,24,31,228,0
94043,22,32,224,0
94054,21,32,228,0
94064,20,35,230,0
94075,20,35,229,0
94085,20,32,226,0
94095,20,33,227,0
94106,20,36,231,0
94117,21,39,234,0
94128,25,40,232,0
94138,25,38,233,0
94149,27,35,228,0
94160,28,32,224,0
94171,28,35,225,0
94182,26,37,231,0
94192,26,40,231,0
94203,25,36,225,0
94215,24,38,229,0
94226,24,36,228,0
94237,24,38,227,0
94248,26,39,227,0
94259,27,40,229,0
94270,27,40,230,0
94281,28,39,229,0
94292,28,40,231,0
94303,28,41,230,0
94314,28,41,230,0
94325,28,41,230,0
94336,29,41,229,0
94347,31,41,230,0
94358,32,40,229,0
94369,34,40,229,0
94380,33,39,229,0
94391,34,39,229,0
94402,33,40,229,0
94413,33,38,229,0
94424,32,39,225,0
94435,31,37,226,0
94446,31,39,225,0
94457,32,39,226,0
94468,33,38,228,0
94479,37,38,230,0
94490,38,39,231,0
94501,40,41,232,0
94512,41,40,229,0
94523,40,41,228,0
94534,41,41,228,0
94545,40,39,230,0
94556,39,38,229,0
94567,39,39,228,0
94578,37,39,229,0
94589,31,40,227,0
94600,29,40,224,0
94611,25,41,222,0
94622,20,42,225,0
94633,18,42,230,0
94644,19,43,234,0
94655,19,45,235,0
94666,18,43,233,0
94677,17,43,232,0
94688,15,43,228,0
94699,16,43,224,0
94710,15,45,224,0
94721,15,46,229,0
94732,14,47,230,0
94743,16,45,231,0
94754,15,43,233,0
94765,18,42,229,0
94776,21,38,225,0
94787,22,38,223,0
94798,23,39,222,0
94809,23,40,225,0
94820,23,39,228,0
94831,23,40,230,0
94842,23,40,232,0
94853,23,40,231,0
94864,25,40,231,0
94875,26,40,231,0
94886,27,40,229,0
94897,30,41,228,0
94908,31,39,228,0
94919,31,40,230,0
94930,32,40,229,0
94941,33,39,228,0
94952,34,38,227,0
94963,33,39,227,0
94974,34,39,227,0
94985,34,38,227,0
94996,33,39,228,0
95007,32,40,226,0
95018,31,40,227,0
95029,28,40,227,0
95040,28,41,231,0
95051,26,43,230,0
95062,27,42,231,0
95073,26,43,230,0
95084,26,40,232,0
95095,29,37,232,0
95106,29,38,230,0
95117,30,37,229,0
95128,31,39,229,0
95139,32,38,228,0
95150,32,38,227,0
95161,31,38,227,0
95172,30,39,227,0
95183,30,38,227,0
95194,31,38,228,0
95205,33,39,232,0
95216,34,40,234,0
95227,36,42,230,0
95238,35,37,230,0
95249,34,36,228,0
95260,33,33,227,0
95271,34,32,228,0
95282,32,34,227,0
95293,33,32,227,0
95304,32,34,228,0
95315,33,35,230,0
95326,34,35,230,0
95337,35,34,229,0
95348,35,32,231,0
95359,37,33,230,0
95370,37,31,232,0
95381,37,33,233,0
95392,34,29,229,0
95403,33,30,229,0
95414,30,32,229,0
95425,29,31,230,0
95436,30,29,227,0
95447,28,31,227,0
95458,27,29,227,0
95469,28,28,229,0
95480,29,28,229,0
95491,30,28,231,0
95502,31,30,232,0
95513,31,28,231,0
95524,30,28,230,0
95535,29,29,230,0
95546,27,29,229,0
95557,26,30,229,0
95568,26,30,230,0
95579,27,28,231,0
95590,28,27,230,0
95601,27,26,230,0
95612,27,23,227,0
95623,29,24,226,0
95634,29,26,225,0
95645,28,27,223,0
95656,30,26,224,0
95667,28,24,227,0
95678,30,23,229,0
95689,32,24,231,0
95700,33,23,229,0
95711,34,33,228,0
95722,32,32,226,0
95733,32,30,226,0
95744,31,29,226,0
95756,30,29,228,0
95767,27,26,230,0
95778,26,15,235,0
95789,32,31,228,0
95800,25,39,218,0
95811,15,27,218,0
95822,17,30,229,0
95833,17,44,228,0
95844,14,50,238,0
95855,15,49,238,0
95866,17,51,237,0
95877,19,48,232,0
95889,20,42,227,0
95900,22,45,222,0
95911,22,53,215,0
95922,16,59,211,0
95933,14,60,214,0
95944,15,64,225,0
95955,19,66,245,0
95966,28,67,252,0
95977,29,65,251,0
95988,30,52,233,0
95999,30,49,223,0
96010,32,48,221,0
96021,35,56,223,0
96032,37,60,233,0
96043,39,60,237,0
96054,40,60,235,0
96065,39,56,228,0
96076,37,61,221,0
96087,33,58,220,0
96098,32,61,219,0
96109,27,67,220,0
96120,20,69,224,0
96131,15,70,226,0
96142,6,67,217,0
96153,5,63,211,0
96164,7,58,202,0
96175,9,58,199,0
96186,9,60,206,0
96197,8,62,219,0
96208,7,66,228,0
96219,7,64,234,0
96230,9,59,233,0
96241,15,56,224,0
96252,19,47,219,0
96263,23,45,216,0
96274,28,47,219,0
96285,32,51,218,0
96296,29,50,223,0
96307,29,54,222,0
96318,24,55,221,0
96329,19,57,221,0
96340,19,58,219,0
96351,18,55,226,0
96362,21,60,239,0
96373,25,63,249,0
96384,24,62,251,0
96395,24,57,248,0
96406,23,57,240,0
96417,21,56,230,0
96428,20,58,225,0
96439,21,64,223,0
96450,17,69,226,0
96461,13,69,228,0
96472,13,66,229,0
96483,14,64,226,0
96494,15,63,227,0
96505,16,63,227,0
96516,21,64,228,0
96527,21,64,230,0
96538,19,66,230,0
96549,15,67,230,0
96560,12,66,225,0
96571,6,66,221,0
96582,3,63,217,0
96593,-3,63,215,0
96604,-20,62,219,0
96615,-23,60,218,0
96626,-23,56,221,0
96637,-21,55,221,0
96648,-18,54,223,0
96659,-16,56,226,0
96670,-10,59,228,0
96681,-8,60,227,0
96692,-2,61,227,0
96703,-1,61,227,0
96714,-1,64,226,0
96725,-2,64,226,0
96736,-1,64,223,0
96747,-2,63,223,0
96758,-6,63,220,0
96769,-6,64,222,0
96780,-7,67,221,0
96791,-8,67,223,0
96802,-8,68,223,0
96813,-8,70,223,0
96824,-7,72,223,0
96835,-10,72,223,0
96846,-14,73,221,0
96857,-14,69,221,0
96868,-14,65,220,0
96879,-13,65,218,0
96890,-13,66,216,0
96901,-14,65,216,0
96912,-12,72,216,0
96923,-13,74,219,0
96934,-14,74,218,0
96945,-14,74,217,0
96956,-16,73,218,0
96967,-17,69,217,0
96978,-21,67,215,0
96989,-25,65,216,0
97000,-28,63,212,0
97011,-32,60,210,0
97022,-36,62,210,0
97033,-39,63,211,0
97044,-42,67,214,0
97055,-46,71,216,0
97066,-51,75,224,0
97077,-48,69,223,0
97088,-46,68,220,0
97099,-46,63,220,0
97110,-49,64,217,0
97121,-45,61,219,0
97132,-40,63,224,0
97143,-29,76,225,1
97154,-26,84,237,0
97165,-36,88,259,0
97176,-53,79,290,0
97187,-62,71,300,0
97198,-62,66,297,0
97209,-63,63,300,0
97220,-41,81,309,0
97231,-22,85,310,0
97242,10,91,310,0
97253,52,86,306,0
97264,88,71,290,0
97275,115,83,261,0
97286,121,102,218,0
97297,119,95,195,0
97308,113,75,165,0
97319,102,64,163,0
97330,83,48,181,0
97341,63,41,195,0
97352,43,46,208,0
97363,22,58,224,0
97374,1,82,239,0
97385,-5,85,239,0
97396,-1,91,234,0
97407,6,94,232,0
97418,17,87,232,0
97429,25,69,223,0
97440,24,57,216,0
97451,19,47,206,0
97462,18,41,202,0
97473,19,35,196,0
97484,21,34,200,0
97495,21,38,202,0
97506,22,41,198,0
97517,24,45,194,0
97528,28,43,190,0
97539,24,44,189,0
97550,16,42,190,0
97561,4,47,189,0
97572,-5,48,190,0
97583,-18,40,188,0
97594,-37,38,187,0
97605,-43,29,192,0
97616,-41,52,200,0
97627,-37,52,202,0
97638,-33,25,176,0
97649,-38,64,166,0
97660,-37,75,173,0
97671,-37,74,189,0
97682,-38,53,198,0
97693,-38,58,200,0
97704,-35,61,205,0
97715,-38,78,212,0
97726,-49,74,230,0
97737,-55,53,242,0
97748,-55,35,250,0
97759,-45,29,252,0
97770,-42,51,272,0
97781,-48,46,295,0
97792,-57,59,284,0
97803,-69,90,276,1
97814,-76,96,294,0
97825,-73,97,315,0
97836,-45,79,347,0
97847,-34,103,345,0
97858,-7,105,374,0
97869,38,96,386,0
97880,71,89,368,0
97891,78,50,334,0
97902,67,41,287,0
97913,78,11,253,0
97924,86,-1,212,0
97935,78,7,167,0
97946,64,5,146,0
97957,51,5,141,0
97968,29,5,137,0
97979,11,2,139,0
97990,-5,2,166,0
98001,5,6,185,0
